expert_id,expert,policy_key,tier,month,trades,wins,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,sample_state,effective_win_rate,month_validation_passed
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
5,VWAP反抽失败空头,eac17b2dead99d38,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2025-11,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
6,阻力转支撑确认多头,39f3e3b0e2915467,REJECTED,2026-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2025-05,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2025-06,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2025-07,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2025-08,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2025-09,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2025-10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2025-11,3,0,0.0,0.0,1.26137362228166,0.0,0.0,-3.78412086684498,3.78412086684498,-1.26137362228166,LOW_CONFIDENCE_OBSERVATION,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2025-12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2026-01,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2026-02,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2026-03,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
7,支撑转阻力确认空头,7dd21da10b8889b6,REJECTED,2026-04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NO_SAMPLE,,False
