channel_id,channel_label,window_start_month,window_end_month,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,2025-01,2025-03,4,1,3,0.25,2.410524522232862,1.1051896171464495,2.1810958814983525,0.7270319604994508,-0.9050443292064863,3.315568851439348,-0.22626108230162156,-1.1016996705038729
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,2025-02,2025-04,3,1,2,0.3333333333333333,2.3783274471519986,1.095896757936639,2.1702112264935685,1.0851056132467842,0.18653393127872042,1.103015409126152,0.06217797709290681,-1.0887781067471263
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,2025-03,2025-05,3,1,2,0.3333333333333333,2.3783274471519986,1.095896757936639,2.1702112264935685,1.0851056132467842,0.18653393127872042,1.103015409126152,0.06217797709290681,-1.0887781067471263
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,2025-04,2025-06,2,1,1,0.5,2.3783274471519986,1.0887781067471263,2.1844005058639335,2.1844005058639335,1.2895493404048723,1.0887781067471263,0.6447746702024362,0.6447746702024362
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,2025-05,2025-07,4,4,0,1.0,1.7661668281056868,0.0,999.0,999.0,7.064667312422747,0.0,1.7661668281056868,2.2152022417745654
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,2025-06,2025-08,5,4,1,0.8,1.7661668281056868,1.1522714574407105,1.5327697450985103,6.131078980394041,5.912395854982037,1.15227145744071,1.1824791709964075,2.1360659878568113
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,2025-07,2025-09,6,4,2,0.6666666666666666,1.7661668281056868,1.1680575137635727,1.5120546782109718,3.0241093564219437,4.728552284895603,2.3361150275271445,0.7880920474826004,1.2282721900373614
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,2025-08,2025-10,6,2,4,0.3333333333333333,2.3010504542797823,1.1611972501074748,1.9816189317248283,0.9908094658624141,-0.042688091870334066,2.3361150275271454,-0.007114681978389011,-1.1517528909073103
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,2025-09,2025-11,6,2,4,0.3333333333333333,2.3010504542797823,1.1492456816494698,2.0022267570996393,1.0011133785498196,0.005118181961685675,3.4131391565114444,0.0008530303269476125,-1.1278497539913006
60m_long_quality_baseline_rr2_5,多头冻结基线·1小时质量回踩 RR2.5,2025-10,2025-12,5,2,3,0.4,2.3010504542797823,1.1377130521704815,2.022522682577944,1.3483484550519624,1.1889617520481202,3.4131391565114444,0.23779235040962404,-1.1044651836086912
