rank,combination_key,aggregate_score,active_experts,expert_policy_keys,2025-12_trades,2025-12_wins,2025-12_win_rate,2025-12_avg_win_R,2025-12_avg_loss_R,2025-12_avg_win_loss_ratio,2025-12_profit_factor,2025-12_net_R,2025-12_max_drawdown_R,2025-12_expectancy_R,2026-01_trades,2026-01_wins,2026-01_win_rate,2026-01_avg_win_R,2026-01_avg_loss_R,2026-01_avg_win_loss_ratio,2026-01_profit_factor,2026-01_net_R,2026-01_max_drawdown_R,2026-01_expectancy_R,2026-02_trades,2026-02_wins,2026-02_win_rate,2026-02_avg_win_R,2026-02_avg_loss_R,2026-02_avg_win_loss_ratio,2026-02_profit_factor,2026-02_net_R,2026-02_max_drawdown_R,2026-02_expectancy_R,2026-03_trades,2026-03_wins,2026-03_win_rate,2026-03_avg_win_R,2026-03_avg_loss_R,2026-03_avg_win_loss_ratio,2026-03_profit_factor,2026-03_net_R,2026-03_max_drawdown_R,2026-03_expectancy_R,2026-04_trades,2026-04_wins,2026-04_win_rate,2026-04_avg_win_R,2026-04_avg_loss_R,2026-04_avg_win_loss_ratio,2026-04_profit_factor,2026-04_net_R,2026-04_max_drawdown_R,2026-04_expectancy_R,2026-05_trades,2026-05_wins,2026-05_win_rate,2026-05_avg_win_R,2026-05_avg_loss_R,2026-05_avg_win_loss_ratio,2026-05_profit_factor,2026-05_net_R,2026-05_max_drawdown_R,2026-05_expectancy_R
26,25d581960c43106137c9,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=fd0da34ab93d25a4|震荡空头反转=75cec9ff1e3f734e|高波动多头突破=46f610205c9e7aef|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
27,44190f8e0ea812ec1ce1,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=fd0da34ab93d25a4|震荡空头反转=75cec9ff1e3f734e|高波动多头突破=1cbaf06554b26cc5|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
28,fbcec3f302b9e9eeea9b,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=fd0da34ab93d25a4|震荡空头反转=75cec9ff1e3f734e|高波动多头突破=1cbaf06554b26cc5|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
29,2f6e55045a7d7525aef4,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=fd0da34ab93d25a4|震荡空头反转=4290de587024b502|高波动多头突破=46f610205c9e7aef|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
30,d3e98b902362616a21f6,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=fd0da34ab93d25a4|震荡空头反转=4290de587024b502|高波动多头突破=46f610205c9e7aef|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
31,04acb1c599eacb5e3e84,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=fd0da34ab93d25a4|震荡空头反转=4290de587024b502|高波动多头突破=1cbaf06554b26cc5|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
32,4dc25d235feef51d78b6,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=c0f0439ba2106b28|震荡多头反转=fd0da34ab93d25a4|震荡空头反转=4290de587024b502|高波动多头突破=1cbaf06554b26cc5|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
33,bf826e4d0fe086026249,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=761b3b73c2ab2b34|震荡多头反转=299b0a28d888bef2|震荡空头反转=75cec9ff1e3f734e|高波动多头突破=46f610205c9e7aef|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
34,14cce7fe5432b369db67,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=761b3b73c2ab2b34|震荡多头反转=299b0a28d888bef2|震荡空头反转=75cec9ff1e3f734e|高波动多头突破=46f610205c9e7aef|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
35,48a35cb2f20ad69f619e,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=761b3b73c2ab2b34|震荡多头反转=299b0a28d888bef2|震荡空头反转=75cec9ff1e3f734e|高波动多头突破=1cbaf06554b26cc5|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
36,de0a8b8e884a17f0104f,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=761b3b73c2ab2b34|震荡多头反转=299b0a28d888bef2|震荡空头反转=75cec9ff1e3f734e|高波动多头突破=1cbaf06554b26cc5|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
37,0e040303bd00ba3342ef,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=761b3b73c2ab2b34|震荡多头反转=299b0a28d888bef2|震荡空头反转=4290de587024b502|高波动多头突破=46f610205c9e7aef|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
38,8de75cab4b1807750f14,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=761b3b73c2ab2b34|震荡多头反转=299b0a28d888bef2|震荡空头反转=4290de587024b502|高波动多头突破=46f610205c9e7aef|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
39,c58e47de6906e5317817,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=761b3b73c2ab2b34|震荡多头反转=299b0a28d888bef2|震荡空头反转=4290de587024b502|高波动多头突破=1cbaf06554b26cc5|高波动空头突破=ca327e318cd87b40,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
40,48d408c8cc1599ffb5b6,-3306.227826890613,趋势空头|震荡多头反转|震荡空头反转|高波动多头突破|高波动空头突破,趋势空头=761b3b73c2ab2b34|震荡多头反转=299b0a28d888bef2|震荡空头反转=4290de587024b502|高波动多头突破=1cbaf06554b26cc5|高波动空头突破=130832f05c6fca6b,1,0,0.0,0.0,0.29794624415747284,0.0,0.0,-0.29794624415747284,0.29794624415747284,-0.29794624415747284,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4,0.4444444444444444,1.951169929782214,0.5518098212930749,3.5359463613930804,2.828757089114464,5.045630612663482,1.4492134285615776,0.5606256236292757,9,4,0.4444444444444444,1.4323604092063222,0.9793560736474449,1.4625532508025807,1.1700426006420646,0.8326612685880646,2.9958632519266093,0.09251791873200717,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,0.7142857142857143,1.377423647936118,0.2980784099382279,4.621011123286546,11.552527808216364,6.290961419804134,0.5961568198764553,0.8987087742577334
