channel_id,channel_label,direction,trades,wins,losses,win_rate,avg_win_R,avg_loss_R,avg_win_loss_ratio,profit_factor,net_R,max_drawdown_R,expectancy_R,median_R
matrix_local_break_15m_shared_fixed_rr1_5,批量·15M局部突破·多空共享·固定 RR1.5,1,2,2,0,1.0,1.3644809100364896,0.0,999.0,999.0,2.7289618200729793,0.0,1.3644809100364896,1.3644809100364896
matrix_local_break_15m_shared_fixed_rr2_0,批量·15M局部突破·多空共享·固定 RR2.0,1,1,1,0,1.0,1.899889279507761,0.0,999.0,999.0,1.899889279507761,0.0,1.899889279507761,1.899889279507761
matrix_local_break_15m_shared_fixed_rr2_5,批量·15M局部突破·多空共享·固定 RR2.5,1,1,0,1,0.0,0.0,1.0986107204922355,0.0,0.0,-1.0986107204922355,1.0986107204922355,-1.0986107204922355,-1.0986107204922355
matrix_pullback_reclaim_15m_long_be1_rr2_0,影子·15M回踩重确认·多头·1R后保本 RR2.0,1,1,1,0,1.0,1.899889279507761,0.0,999.0,999.0,1.899889279507761,0.0,1.899889279507761,1.899889279507761
matrix_pullback_reclaim_15m_long_fixed_rr1_5,批量·15M回踩重确认·多头·固定 RR1.5,1,2,2,0,1.0,1.3645283751998982,0.0,999.0,999.0,2.7290567503997964,0.0,1.3645283751998982,1.3645283751998982
matrix_pullback_reclaim_15m_long_fixed_rr2_0,批量·15M回踩重确认·多头·固定 RR2.0,1,1,1,0,1.0,1.899889279507761,0.0,999.0,999.0,1.899889279507761,0.0,1.899889279507761,1.899889279507761
matrix_pullback_reclaim_15m_long_fixed_rr2_5,批量·15M回踩重确认·多头·固定 RR2.5,1,1,0,1,0.0,0.0,1.0986107204922355,0.0,0.0,-1.0986107204922355,1.0986107204922355,-1.0986107204922355,-1.0986107204922355
matrix_pullback_reclaim_15m_shared_fixed_rr1_5,批量·15M回踩重确认·多空共享·固定 RR1.5,-1,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882
matrix_pullback_reclaim_15m_shared_fixed_rr1_5,批量·15M回踩重确认·多空共享·固定 RR1.5,1,2,2,0,1.0,1.3645283751998982,0.0,999.0,999.0,2.7290567503997964,0.0,1.3645283751998982,1.3645283751998982
matrix_pullback_reclaim_15m_shared_fixed_rr2_0,批量·15M回踩重确认·多空共享·固定 RR2.0,-1,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882
matrix_pullback_reclaim_15m_shared_fixed_rr2_0,批量·15M回踩重确认·多空共享·固定 RR2.0,1,1,1,0,1.0,1.899889279507761,0.0,999.0,999.0,1.899889279507761,0.0,1.899889279507761,1.899889279507761
matrix_pullback_reclaim_15m_shared_fixed_rr2_5,批量·15M回踩重确认·多空共享·固定 RR2.5,-1,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882
matrix_pullback_reclaim_15m_shared_fixed_rr2_5,批量·15M回踩重确认·多空共享·固定 RR2.5,1,1,0,1,0.0,0.0,1.0986107204922355,0.0,0.0,-1.0986107204922355,1.0986107204922355,-1.0986107204922355,-1.0986107204922355
matrix_pullback_reclaim_15m_short_be1_rr2_0,影子·15M回踩重确认·空头·1R后保本 RR2.0,-1,3,0,3,0.0,0.0,0.8113461363303361,0.0,0.0,-2.4340384089910083,2.4340384089910083,-0.8113461363303361,-1.1233657293837833
matrix_pullback_reclaim_15m_short_fixed_rr1_5,批量·15M回踩重确认·空头·固定 RR1.5,-1,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882
matrix_pullback_reclaim_15m_short_fixed_rr2_0,批量·15M回踩重确认·空头·固定 RR2.0,-1,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882
matrix_pullback_reclaim_15m_short_fixed_rr2_5,批量·15M回踩重确认·空头·固定 RR2.5,-1,2,0,2,0.0,0.0,1.132283742443882,0.0,0.0,-2.264567484887764,2.264567484887764,-1.132283742443882,-1.132283742443882
