month,signal_i,direction,v961_exit_i,v961_day,v961_net_r,v961_win,v961_probability,v961_online_percentile,v961_rank_pass,v961_router,v961_micro,v961_meta_probability,v961_meta_decision,v961_meta_pass,v961_expected_utility,v961_brier_penalty,v961_sample_uncertainty_penalty,v961_total_penalty,v961_utility,v961_utility_pass,v961_cap_pass,v961_selected,v961_first_reject_stage,v964_exit_i,v964_day,v964_net_r,v964_win,v964_probability,v964_online_percentile,v964_rank_pass,v964_router,v964_micro,v964_meta_probability,v964_meta_decision,v964_meta_pass,v964_expected_utility,v964_brier_penalty,v964_sample_uncertainty_penalty,v964_total_penalty,v964_utility,v964_utility_pass,v964_cap_pass,v964_selected,v964_first_reject_stage,candidate_presence,selection_status,selection_changed,outcome_net_r,outcome_win,profit_opportunity_rejected_by_v961,profit_opportunity_rejected_by_v964
2026-01,86524,-1,86538,2026-01-02,1.8837997881465247,True,0.3799471579399241,0.8695652173913043,True,0.5438746210242331,0.4412836233072719,0.3184094017426857,NEUTRAL,True,0.13013779587024232,0.044346237169198166,0.0,0.044346237169198166,0.08579155870104416,True,True,True,SELECTED,86538,2026-01-02,1.8837997881465247,True,0.3799471579399241,0.8695652173913043,True,0.5438746210242331,0.4412836233072719,0.3184094017426857,NEUTRAL,True,0.13013779587024232,0.044346237169198166,0.11726039399558574,0.1616066311647839,-0.031468835294541586,False,False,False,MINIMUM_UTILITY,BOTH_RAW,V961_SELECTED_ONLY,True,1.8837997881465247,True,False,True
2026-01,87301,-1,87303,2026-01-05,-1.271348763189079,False,0.31930674892558497,0.5833333333333334,False,0.529416586327319,0.6673666939213856,0.3247078495192425,NEUTRAL,False,0.006861969303144755,0.044346237169198166,0.0,0.044346237169198166,-0.03748426786605341,False,False,False,ONLINE_RANK,87303,2026-01-05,-1.271348763189079,False,0.31930674892558497,0.5833333333333334,False,0.529416586327319,0.6673666939213856,0.3247078495192425,REJECT,False,0.006861969303144755,0.044346237169198166,0.11726039399558574,0.1616066311647839,-0.15474466186163915,False,False,False,ONLINE_RANK,BOTH_RAW,NEITHER_SELECTED,False,-1.271348763189079,False,False,False
2026-01,87305,-1,87322,2026-01-05,1.8321953397565938,True,0.3676039281546235,0.84,True,0.5333354570967384,0.5084309396820403,0.32070566074460527,NEUTRAL,True,0.10575717534776785,0.044346237169198166,0.0,0.044346237169198166,0.061410938178569685,True,True,True,SELECTED,87322,2026-01-05,1.8321953397565938,True,0.3676039281546235,0.84,True,0.5333354570967384,0.5084309396820403,0.32070566074460527,NEUTRAL,True,0.10575717534776785,0.044346237169198166,0.11726039399558574,0.1616066311647839,-0.05584945581701606,False,False,False,MINIMUM_UTILITY,BOTH_RAW,V961_SELECTED_ONLY,True,1.8321953397565938,True,False,True
2026-01,89185,-1,89192,2026-01-12,1.8301926884775166,True,0.23097101851530755,0.038461538461538464,False,0.5358791535458773,0.6123039842169808,0.3196798589723226,REJECT,False,-0.18268525443906658,0.044346237169198166,0.0,0.044346237169198166,-0.22703149160826475,False,False,False,ONLINE_RANK,89192,2026-01-12,1.8301926884775166,True,0.23097101851530755,0.038461538461538464,False,0.5358791535458773,0.6123039842169808,0.3196798589723226,REJECT,False,-0.18268525443906658,0.044346237169198166,0.11726039399558574,0.1616066311647839,-0.3442918856038505,False,False,False,ONLINE_RANK,BOTH_RAW,NEITHER_SELECTED,False,1.8301926884775166,True,True,True
2026-01,89334,-1,89363,2026-01-13,-1.2713582137541857,False,0.2868486731081366,0.2962962962962963,False,0.5350343260719851,0.6373042204970509,0.3224024510446486,REJECT,False,-0.06310667786988844,0.044346237169198166,0.0,0.044346237169198166,-0.1074529150390866,False,False,False,ONLINE_RANK,89363,2026-01-13,-1.2713582137541857,False,0.2868486731081366,0.2962962962962963,False,0.5350343260719851,0.6373042204970509,0.3224024510446486,REJECT,False,-0.06310667786988844,0.044346237169198166,0.11726039399558574,0.1616066311647839,-0.22471330903467235,False,False,False,ONLINE_RANK,BOTH_RAW,NEITHER_SELECTED,False,-1.2713582137541857,False,False,False
2026-01,89434,-1,89436,2026-01-13,-0.17080459542339413,False,0.3532851336304587,0.75,False,0.533025914034753,0.6544542408256104,0.32532619168333826,NEUTRAL,False,0.07884788749615534,0.044346237169198166,0.0,0.044346237169198166,0.03450165032695718,False,False,False,ONLINE_RANK,89436,2026-01-13,-0.17080459542339413,False,0.3532851336304587,0.75,False,0.533025914034753,0.6544542408256104,0.32532619168333826,NEUTRAL,False,0.07884788749615534,0.044346237169198166,0.11726039399558574,0.1616066311647839,-0.08275874366862856,False,False,False,ONLINE_RANK,BOTH_RAW,NEITHER_SELECTED,False,-0.17080459542339413,False,False,False
2026-01,89436,-1,89441,2026-01-13,-1.2713556731613804,False,0.3561338491175096,0.7586206896551724,False,0.5308015638800346,0.5805054862188725,0.32292355318852906,NEUTRAL,False,0.08316023254464966,0.044346237169198166,0.0,0.044346237169198166,0.03881399537545149,False,False,False,ONLINE_RANK,89441,2026-01-13,-1.2713556731613804,False,0.3561338491175096,0.7586206896551724,False,0.5308015638800346,0.5805054862188725,0.32292355318852906,NEUTRAL,False,0.08316023254464966,0.044346237169198166,0.11726039399558574,0.1616066311647839,-0.07844639862013425,False,False,False,ONLINE_RANK,BOTH_RAW,NEITHER_SELECTED,False,-1.2713556731613804,False,False,False
2026-01,89494,-1,89513,2026-01-13,-1.271343544511908,False,0.35696632175707343,0.7666666666666667,False,0.5343983398809803,0.6566174284575508,0.32548520543962717,NEUTRAL,False,0.08671137243348803,0.044346237169198166,0.0,0.044346237169198166,0.042365135264289866,False,False,False,ONLINE_RANK,89513,2026-01-13,-1.271343544511908,False,0.35696632175707343,0.7666666666666667,False,0.5343983398809803,0.6566174284575508,0.32548520543962717,NEUTRAL,False,0.08671137243348803,0.044346237169198166,0.11726039399558574,0.1616066311647839,-0.07489525873129588,False,False,False,ONLINE_RANK,BOTH_RAW,NEITHER_SELECTED,False,-1.271343544511908,False,False,False
2026-01,89702,-1,89704,2026-01-14,-1.2643270542932266,False,0.38449573646316265,0.9032258064516129,True,0.5259893454180284,0.6872295488882065,0.32779272559141814,NEUTRAL,True,0.14630270538101064,0.044346237169198166,0.0,0.044346237169198166,0.10195646821181248,True,True,True,SELECTED,89704,2026-01-14,-1.2643270542932266,False,0.38449573646316265,0.9032258064516129,True,0.5259893454180284,0.6872295488882065,0.32779272559141814,NEUTRAL,True,0.14630270538101064,0.044346237169198166,0.11726039399558574,0.1616066311647839,-0.015303925783773265,False,False,False,MINIMUM_UTILITY,BOTH_RAW,V961_SELECTED_ONLY,True,-1.2643270542932266,False,False,False
2026-01,89703,-1,89704,2026-01-14,-1.2651195544318625,False,0.40767510462071344,0.9375,True,0.5269858245318149,0.6335410344968728,0.32664491718586686,NEUTRAL,True,0.1943082677121295,0.044346237169198166,0.0,0.044346237169198166,0.14996203054293133,True,False,False,MONTHLY_TARGET_CAP,89704,2026-01-14,-1.2651195544318625,False,0.40767510462071344,0.9375,True,0.5269858245318149,0.6335410344968728,0.32664491718586686,NEUTRAL,True,0.1943082677121295,0.044346237169198166,0.11726039399558574,0.1616066311647839,0.03270163654734559,True,True,True,SELECTED,BOTH_RAW,V965_SELECTED_ONLY,True,-1.2651195544318625,False,False,False
